Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Verb_Freq_Std
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.6905154698500915
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.23268054026872587
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.7725072730029965
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.33761511166752706
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.6295382936051893
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857,-0.5489368189200468
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,NA,NA,0.951151270641489
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,NA,NA,2.260642236673088
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.6905154698500915
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.23268054026872587
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.7725072730029965
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.33761511166752706
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.6295382936051893
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.7241850144837578,L2L,4th/5th,NA,NA,-0.5489368189200468
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,5,0.4,0.951151270641489
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,5,0.4,2.260642236673088
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.6905154698500915
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.23268054026872587
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.7725072730029965
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.33761511166752706
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.6295382936051893
H23,1,1,L2L 4th/5th,5,11,137,NA,NA,NA,2,3,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.7241850144837578,L2L,4th/5th,5,0.4,-0.5489368189200468
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,0.951151270641489
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,2.260642236673088
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.6905154698500915
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.23268054026872587
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.7725072730029965
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.33761511166752706
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.6295382936051893
H27,1,1,L2L 4th/5th,5,11,133,NA,NA,NA,3,6,4,8,Japanese,Yes,No,No,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.7241850144837578,L2L,4th/5th,9,0.3333333333333333,-0.5489368189200468
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-02,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,0.951151270641489
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,2.260642236673088
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.6905154698500915
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.23268054026872587
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.7725072730029965
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.33761511166752706
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.6295382936051893
H28,1,1,L2L 4th/5th,5,NA,139,NA,NA,NA,2,4,NA,8,"French, Turkish",Yes,Yes,Yes,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.7241850144837578,L2L,4th/5th,6,0.3333333333333333,-0.5489368189200468
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-02,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.17480327935814888,L2L,4th/5th,6,0.5,0.951151270641489
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.17480327935814888,L2L,4th/5th,6,0.5,2.260642236673088
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.6905154698500915
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.23268054026872587
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.7725072730029965
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.33761511166752706
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.6295382936051893
H29,1,1,L2L 4th/5th,5,11,138,NA,NA,NA,3,3,3,7,"Ukrainian, Russian",Yes,Yes,Yes,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.17480327935814888,L2L,4th/5th,6,0.5,-0.5489368189200468
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,0.951151270641489
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,2.260642236673088
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.6905154698500915
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.23268054026872587
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.7725072730029965
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.33761511166752706
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.6295382936051893
H30,1,1,L2L 4th/5th,5,NA,140,NA,NA,NA,2,5,NA,6,L2 learner,L2,L2,L2,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,-0.3745784557674601,L2L,4th/5th,7,0.2857142857142857,-0.5489368189200468
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,0.951151270641489
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,2.260642236673088
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.6905154698500915
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.23268054026872587
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.7725072730029965
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.33761511166752706
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.6295382936051893
H31,1,1,L2L 4th/5th,5,NA,131,NA,NA,NA,2,5,NA,8,L2 learner,L2,L2,L2,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.7241850144837578,L2L,4th/5th,7,0.2857142857142857,-0.5489368189200468
H32,1,1,L2L 4th/5th,5,NA,130,NA,NA,NA,1,5,NA,8,Russian,No,Yes,Yes,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,0.7241850144837578,L2L,4th/5th,6,0.16666666666666666,0.951151270641489
H32,1,1,L2L 4th/5th,5,NA,130,NA,NA,NA,1,5,NA,8,Russian,No,Yes,Yes,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,0.7241850144837578,L2L,4th/5th,6,0.16666666666666666,2.260642236673088
H32,1,1,L2L 4th/5th,5,NA,130,NA,NA,NA,1,5,NA,8,Russian,No,Yes,Yes,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,0.7241850144837578,L2L,4th/5th,6,0.16666666666666666,-0.6905154698500915
H32,1,1,L2L 4th/5th,5,NA,130,NA,NA,NA,1,5,NA,8,Russian,No,Yes,Yes,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.7241850144837578,L2L,4th/5th,6,0.16666666666666666,-0.23268054026872587
H32,1,1,L2L 4th/5th,5,NA,130,NA,NA,NA,1,5,NA,8,Russian,No,Yes,Yes,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.7241850144837578,L2L,4th/5th,6,0.16666666666666666,-0.7725072730029965
