Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-23,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-25,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,8,0.25
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-03,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-05,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-07,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-09,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-11,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-13,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-15,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-17,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-19,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-21,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-23,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Forced Choice,FCT-25,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-03,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-05,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-07,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-09,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-11,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-13,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-15,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-17,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-19,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-21,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-23,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H53,1,1,L2L 2nd,2,8,97,NA,NA,NA,3,4,NA,7,Turkish,Yes,Yes,Yes,Forced Choice,FCT-25,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,7,0.42857142857142855
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-03,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-05,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-07,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-09,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-11,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-13,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
H55,1,1,L2L 2nd,2,8,102,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Forced Choice,FCT-15,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,6,0.16666666666666666
