Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-20,0,,,,,,,,DOM,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-21,1,,,,,,,,Clitic,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-22,0,,,,,,,,Subjunctive,,,poner,514285,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-23,1,,,,,,,,Clitic,Masculine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-24,1,,,,,,,,DOM,Masculine,,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-25,0,,,,,,,,Clitic,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-26,0,,,,,,,,Subjunctive,,,escribir,265684,Regular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-27,1,,,,,,,,DOM,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-28,0,,,,,,,,Subjunctive,,,salir,334324,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-01,1,,,,,,,,DOM,Masculine,,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-02,0,,,,,,,,Subjunctive,,,ver,1611795,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-03,0,,,,,,,,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-04,1,,,,,,,,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-05,0,,,,,,,,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-06,0,,,,,,,,Subjunctive,,,hacer,2726954,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-07,1,,,,,,,,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-08,0,,,,,,,,DOM,Masculine,,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-09,0,,,,,,,,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-10,0,,,,,,,,Subjunctive,,,comer,213756,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-11,1,,,,,,,,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-12,1,,,,,,,,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-13,0,,,,,,,,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-14,1,,,,,,,,Subjunctive,,,ir,603647,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-15,1,,,,,,,,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-16,0,,,,,,,,DOM,Masculine,,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-17,1,,,,,,,,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-18,0,,,,,,,,Subjunctive,,,abrir,143932,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-19,1,,,,,,,,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-20,0,,,,,,,,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-21,1,,,,,,,,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-22,1,,,,,,,,Subjunctive,,,poner,514285,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-23,1,,,,,,,,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-24,0,,,,,,,,DOM,Masculine,,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-25,0,,,,,,,,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-26,0,,,,,,,,Subjunctive,,,escribir,265684,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-27,0,,,,,,,,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Forced Choice,FCT-28,1,,,,,,,,Subjunctive,,,salir,334324,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-01,0,,,,,,,,DOM,Masculine,,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,,,,,,,,Subjunctive,,,ver,1611795,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-03,0,,,,,,,,Clitic,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-04,0,,,,,,,,DOM,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-05,1,,,,,,,,Clitic,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,,,,,,,,Subjunctive,,,hacer,2726954,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-07,1,,,,,,,,Clitic,Masculine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-08,0,,,,,,,,DOM,Masculine,,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-09,0,,,,,,,,Clitic,Feminine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-10,1,,,,,,,,Subjunctive,,,comer,213756,Regular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-11,1,,,,,,,,Clitic,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-12,1,,,,,,,,DOM,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-13,1,,,,,,,,Clitic,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-14,0,,,,,,,,Subjunctive,,,ir,603647,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-15,1,,,,,,,,Clitic,Masculine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-16,0,,,,,,,,DOM,Masculine,,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-17,1,,,,,,,,Clitic,Feminine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-18,1,,,,,,,,Subjunctive,,,abrir,143932,Regular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-19,1,,,,,,,,Clitic,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-20,1,,,,,,,,DOM,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-21,1,,,,,,,,Clitic,Feminine,Singular,,,
